x_value,total_1,total_2
0,1000,1000
1,1005,996
2,1006,995
3,1000,1001
4,994,1004
5,995,1008
6,991,1007
7,996,1004
8,998,1007
9,999,1003
10,1004,1006
11,1002,1005
12,998,1011
13,1002,1013
14,999,1008
15,997,1009
16,995,1010
17,995,1015
18,990,1015
19,994,1020
20,990,1022
21,985,1017
22,990,1021
23,992,1024
24,987,1028
25,988,1025
26,992,1031
27,988,1032
28,985,1032
29,992,1038
30,995,1041
31,991,1044
32,999,1045
33,1005,1046
34,1003,1050
35,1001,1049
36,997,1053
37,1001,1054
38,996,1056
39,995,1055
40,990,1056
41,987,1062
42,982,1066
43,983,1066
44,982,1061
45,990,1067
46,990,1073
47,997,1074
48,1001,1076
49,996,1075
50,994,1080
51,998,1086
52,993,1082
53,995,1087
54,994,1091
55,1000,1086
56,998,1090
57,1002,1089
58,1003,1088
59,998,1092
60,999,1090
61,1000,1085
62,1007,1089
63,1012,1092
64,1011,1093
65,1013,1097
66,1016,1092
67,1012,1095
68,1018,1090
69,1016,1094
70,1018,1094
71,1016,1099
72,1017,1098
73,1017,1095
74,1012,1097
75,1015,1093
76,1010,1099
77,1015,1097
78,1009,1101
79,1011,1105
80,1006,1103
81,1013,1108
82,1020,1113
83,1021,1108
84,1020,1109
85,1023,1110
86,1017,1116
87,1018,1114
88,1023,1113
89,1018,1114
90,1016,1116
91,1013,1114
92,1011,1113
93,1015,1109
94,1022,1113
95,1030,1115
96,1028,1120
97,1032,1120
98,1035,1120
99,1031,1118
100,1038,1114
101,1042,1120
102,1036,1121
103,1039,1125
104,1041,1130
105,1048,1127
106,1052,1132
107,1060,1128
108,1063,1131
109,1065,1131
110,1059,1128
111,1067,1133
112,1067,1135
113,1075,1141
114,1073,1139
115,1076,1135
116,1074,1141
117,1075,1146
118,1079,1143
